# Имена функций прошивки MMI3GApplication (SH-4, VA = смещение в файле + 0x08040000).
# Проект Ghidra лежит в fw/ и в git не попадает (1.4 ГБ), поэтому имена храним здесь.
# Применить к свежему проекту: fwmap/scripts/ApplyNames.java
#
# адрес	имя	чем опознана
0x0807a0b8	fldb_checksum	сумма каталога FLDB, CRC 0x04C11DB7 с шагом 0xC7
0x08272350	xac_find_node	поиск узла вперёд по блоку, шаги 6 и 9 слов
0x08272410	xac_node_offset	ссылка на узел -> смещение; признак конца 0xff, под-блок +0x16
0x08272548	xac_node_other_block	узел в соседнем блоке
0x082727e8	xac_decode_coord	три формы координаты: 4, 6 и 8 байт
0x08272938	xac_read_vector_v5	разбор записи вектора v5 целиком
0x08277f7c	xac_fill_speed_mode	поле +0x48 из шапки блока: (байт 0x39 >> 1) & 3
0x08c9e3b8	lit_get_detail_line	строка записи POI по однобайтовому тегу, до 254 байт
0x08cb20f0	gdb_read_header	шапка GDB: версия, id, 12 уровней, таблица 32 пар
0x08cc4f58	lit_open	открытие Lit\x02: заголовок и каталог блоков
0x08cc7b3c	lit_reset_struct	сброс состояния под тип структуры
0x08cc79bc	lit_read_element	сбор элемента: шаг до падения уровня
0x08cc8800	lit_iterator_next	шаг итератора, коды возврата -1..-5
0x08ccaf60	lit_get_text	ленивый доступ к тексту записи
0x08ccf84c	lit_parse_dispatch	раскладка прочитанного по полям объекта
0x08ccfcc0	lit_expand_dict	развёртка словаря: длина и смещение по коду
0x08cd0798	lit_parse_step	машина грамматики TTD, 24 кода операций
0x08cd070c	lit_iter_init	инициализация итератора, проверка *param_2 == 0x10
0x08cddfec	poitiledb_get_tile	получение тайла POI
0x08cdeee4	poitile_ctor	обход элементов тайла POI, тип записи 0x24
0x08cdf1e8	poitile_check_type	проверка ISLit_POITile == 0x23
0x08cf473e	xac_scan_sections	обход разделов тайла XAC, шаг size + 0x14
0x08cf4a54	xac_get_component	поиск раздела по номеру блока
0x082b2efc	nav_options_violation_mask	сборка маски нарушенных опций маршрута, 14 строк-имён
0x082b3638	nav_route_scan_violations	обход маршрута, счёт метров по категориям Maut/Tunnel/Motorway
0x08cdd9e4	lit_poi_tiles_in_tree	обход квадродерева тайлов POI, рамка и до четырёх потомков
0x08cddd1c	lit_poi_layer_entry	вход в слой: позиция из массива слоёв, тип записи обязан быть 0x21
0x0822c434	lit_seek_pos	разбор шестибайтовой позиции: u32 номер блока, u16 ключ записи
0x08cceb48	lit_seek_record	переход: загрузить блок по номеру, шагать записями до ключа
0x08cf5520	CXacFe_init_nach_laden	разбор записи XAC-STRUKTUR в объект тайла: код, 4 границы, пары разделов, ещё 2 границы
0x08cf58d8	CXacFe_getVectorBlock	блок по номеру: обход разделов подряд с кешем пар «смещение, размер» по 16 байт
0x08cf5ebc	CXacFe_getZfnBlock_layer2	слой 1: имя файла %s_%.4s_2.xac, смещение и размер из поуровневой записи
0x08cf20ac	CXacDb_getFe	тайл по номеру, проверка feNum < mNumberOfFes
0x08cf2170	CXacDb_getBlockInfoOfFeLayer	по (тайл, слой): число блоков u16 +0 и номер первого u16 +2, запись слоя 28 байт
0x08cf2230	CXacDb_getFeNumberAndLayerOfBlockNumber	по сквозному номеру блока: тайл из таблицы u16 и перебор слоёв 0..3
0x08cf22fc	CXacDb_getFeGroupOfFe	группа тайла: поле +0x84 записи FE-таблицы (шаг 144 байта)
0x08cf31f8	CXacDb_initFeTable	сборка FE-таблицы из XAC-STRUKTUR L1..L4
0x08cf541c	CXacDb_allocFeTable	выделение памяти под FE-таблицу: 4 слоя, у каждого u16 число блоков, по 16 байт на блок
0x080b615c	isdb_read_u32be	чтение u32 BE из потока с продвижением указателя
